equipment_id,test_id,test_name,start,end
setup_sofia_1,mwcu_b10_7_K-02_seq13,K-02,2028-08-22T00:00:00,2028-09-07T00:00:00
setup_sofia_2,mwcu_b10_5_Leak_seq1,Leak,2027-01-11T00:00:00,2027-01-14T00:00:00
setup_sofia_2,mwcu_b10_2.1_K-01_seq2,K-01,2027-01-14T00:00:00,2027-01-18T00:00:00
setup_sofia_2,mwcu_b10_7_K-02_seq3,K-02,2027-01-18T00:00:00,2027-02-03T00:00:00
setup_sofia_2,mwcu_a7_7_P-03_seq4,P-03,2027-02-03T00:00:00,2027-03-08T00:00:00
setup_sofia_2,mwcu_b10_2.2_K-05_seq6,K-05,2027-03-16T00:00:00,2027-04-27T00:00:00
setup_sofia_2,mwcu_a7_2.2_P-03-L_seq7,P-03-L,2027-04-27T00:00:00,2027-05-30T00:00:00
setup_sofia_2,mwcu_b10_7_P-03_seq6,P-03,2027-05-31T00:00:00,2027-07-03T00:00:00
setup_sofia_2,mwcu_b10_2.1_K-06_seq8,K-06,2027-07-03T00:00:00,2027-07-19T00:00:00
setup_sofia_2,mwcu_b10_3_P-02_seq6,P-02,2027-08-24T00:00:00,2027-08-30T00:00:00
setup_sofia_2,mwcu_b10_5a_Leak_seq3,Leak,2027-10-06T00:00:00,2027-10-09T00:00:00
setup_sofia_2,mwcu_a7_2.1_P-02_seq14,P-02,2027-10-13T00:00:00,2027-10-19T00:00:00
setup_sofia_2,mwcu_b10_2.1_P-02_seq14,P-02,2027-11-06T00:00:00,2027-11-12T00:00:00
setup_sofia_2,mwcu_b10_2.1_M-05_seq15,M-05,2027-11-12T00:00:00,2027-11-20T00:00:00
setup_sofia_2,mwcu_a7_3_L-03_seq11,L-03,2028-01-10T00:00:00,2028-03-02T00:00:00
setup_sofia_2,mwcu_b10_2.1_K-12_seq26,K-12,2028-04-27T00:00:00,2028-05-22T00:00:00
setup_sofia_2,mwcu_a7_2.1_P-04_seq31,P-04,2028-06-04T00:00:00,2028-06-20T00:00:00
setup_sofia_2,mwcu_b10_2.1_P-04_seq31,P-04,2028-07-19T00:00:00,2028-08-04T00:00:00
setup_sofia_2,mwcu_a7_7_P-03-E_seq14,P-03-E,2028-08-31T00:00:00,2028-10-03T00:00:00
setup_sofia_2,mwcu_b10_7_P-04_seq16,P-04,2028-10-13T00:00:00,2028-10-29T00:00:00
setup_sofia_3,mwcu_a7_3_Leak_seq1,Leak,2027-01-11T00:00:00,2027-01-14T00:00:00
setup_sofia_3,mwcu_a7_5_Leak_seq2,Leak,2027-01-14T00:00:00,2027-01-17T00:00:00
setup_sofia_3,mwcu_b10_5_K-01_seq3,K-01,2027-01-17T00:00:00,2027-01-21T00:00:00
setup_sofia_3,mwcu_a7_4_Leak_seq1,Leak,2027-01-28T00:00:00,2027-01-31T00:00:00
setup_sofia_3,mwcu_b10_4_P-03_seq3,P-03,2027-03-01T00:00:00,2027-04-03T00:00:00
setup_sofia_3,mwcu_a7_6_K-10_seq4,K-10,2027-04-17T00:00:00,2027-04-23T00:00:00
setup_sofia_3,mwcu_a7_6_K-11_seq5,K-11,2027-04-23T00:00:00,2027-04-29T00:00:00
setup_sofia_3,mwcu_a7_6_P-02-L_seq6,P-02-L,2027-04-29T00:00:00,2027-05-05T00:00:00
setup_sofia_3,mwcu_a7_6_K-12_seq7,K-12,2027-05-05T00:00:00,2027-05-30T00:00:00
setup_sofia_3,mwcu_a7_6_Leak_seq8,Leak,2027-05-30T00:00:00,2027-06-02T00:00:00
