fte_id,test_id,test_name,start,end
fte_sofia_3,mwcu_b10_2_P-03_seq4,P-03,2026-10-17T00:00:00,2026-11-14T00:00:00
fte_sofia_3,mwcu_b10_2_K-02_seq5,K-02,2026-11-14T00:00:00,2026-11-28T00:00:00
fte_sofia_3,mwcu_b10_4_Leak_seq1,Leak,2026-11-28T00:00:00,2026-12-01T00:00:00
fte_sofia_3,mwcu_a7_4_Leak_seq1,Leak,2026-12-01T00:00:00,2026-12-04T00:00:00
fte_sofia_3,mwcu_b10_4_K-01_seq2,K-01,2026-12-04T00:00:00,2026-12-07T00:00:00
fte_sofia_3,mwcu_b10_6_K-11_seq5,K-11,2026-12-07T00:00:00,2026-12-12T00:00:00
fte_sofia_3,mwcu_b10_6_P-02-L_seq6,P-02-L,2027-01-11T00:00:00,2027-01-16T00:00:00
fte_sofia_3,dcc_21a_6_K-12_seq7,K-12,2027-01-16T00:00:00,2027-02-06T00:00:00
fte_sofia_3,mwcu_b10_2_K-05_seq6,K-05,2027-02-06T00:00:00,2027-03-13T00:00:00
fte_sofia_3,mwcu_b10_2_P-03-L_seq7,P-03-L,2027-03-13T00:00:00,2027-04-10T00:00:00
fte_sofia_3,mwcu_b10_2_K-06_seq8,K-06,2027-04-10T00:00:00,2027-04-24T00:00:00
fte_sofia_3,dcc_21a_2_K-09_seq10,K-09,2027-04-24T00:00:00,2027-05-11T00:00:00
fte_sofia_3,dcc_21a_2_Leak_seq11,Leak,2027-05-11T00:00:00,2027-05-14T00:00:00
fte_sofia_3,dcc_21a_2_P-03-L_seq12,P-03-L,2027-05-14T00:00:00,2027-06-11T00:00:00
fte_sofia_3,dcc_21a_2_K-03_seq13,K-03,2027-06-11T00:00:00,2027-06-14T00:00:00
fte_sofia_3,dcc_21a_2_P-02_seq14,P-02,2027-06-14T00:00:00,2027-06-19T00:00:00
fte_sofia_3,mwcu_b10_2_P-02_seq14,P-02,2027-06-19T00:00:00,2027-06-24T00:00:00
fte_sofia_3,mwcu_b10_2_M-05_seq15,M-05,2027-06-24T00:00:00,2027-07-01T00:00:00
fte_sofia_3,mwcu_b10_2_P-02-L_seq16,P-02-L,2027-07-01T00:00:00,2027-07-06T00:00:00
fte_sofia_3,mwcu_b10_2_M-04_seq17,M-04,2027-07-06T00:00:00,2027-07-20T00:00:00
