equipment_id,test_id,test_name,start,end
setup_sofia_2,mwcu_b10_6_P-04_seq10,P-04,2028-10-16T00:00:00,2028-10-30T00:00:00
setup_sofia_2,mwcu_b10_3_P-04_seq17,P-04,2028-10-30T00:00:00,2028-11-13T00:00:00
setup_sofia_3,mwcu_a7_6_P-03_seq3,P-03,2026-09-06T00:00:00,2026-10-04T00:00:00
setup_sofia_3,mwcu_b10_6_K-10_seq4,K-10,2026-10-04T00:00:00,2026-10-09T00:00:00
setup_sofia_3,mwcu_a7_2b_K-01_seq2,K-01,2026-10-09T00:00:00,2026-10-12T00:00:00
setup_sofia_3,mwcu_a7_2b_K-04_seq3,K-04,2026-10-12T00:00:00,2026-10-19T00:00:00
setup_sofia_3,mwcu_a7_2b_P-03_seq4,P-03,2026-10-19T00:00:00,2026-11-16T00:00:00
setup_sofia_3,mwcu_a7_3_Leak_seq1,Leak,2026-11-16T00:00:00,2026-11-19T00:00:00
setup_sofia_3,mwcu_a7_3_K-01_seq2,K-01,2026-11-19T00:00:00,2026-11-22T00:00:00
setup_sofia_3,mwcu_a7_3_K-02_seq3,K-02,2026-11-22T00:00:00,2026-12-06T00:00:00
setup_sofia_3,mwcu_b10_4_Leak_seq1,Leak,2026-12-06T00:00:00,2026-12-09T00:00:00
setup_sofia_3,mwcu_b10_4_K-01_seq2,K-01,2026-12-09T00:00:00,2026-12-12T00:00:00
setup_sofia_3,mwcu_a7_2a_K-05_seq6,K-05,2027-01-11T00:00:00,2027-02-15T00:00:00
setup_sofia_3,mwcu_a7_2a_P-03-L_seq7,P-03-L,2027-02-15T00:00:00,2027-03-15T00:00:00
setup_sofia_3,mwcu_b10_2a_K-06_seq8,K-06,2027-03-15T00:00:00,2027-03-29T00:00:00
setup_sofia_3,mwcu_a7_2a_P-02-L_seq9,P-02-L,2027-03-29T00:00:00,2027-04-03T00:00:00
setup_sofia_3,mwcu_b10_2a_K-09_seq10,K-09,2027-04-03T00:00:00,2027-04-20T00:00:00
setup_sofia_3,mwcu_a7_2a_Leak_seq11,Leak,2027-04-20T00:00:00,2027-04-23T00:00:00
setup_sofia_3,mwcu_b10_2b_P-03-L_seq7,P-03-L,2027-04-23T00:00:00,2027-05-21T00:00:00
setup_sofia_3,mwcu_a7_5_Leak_seq2,Leak,2027-05-21T00:00:00,2027-05-24T00:00:00
setup_sofia_3,mwcu_a7_2a_P-02_seq14,P-02,2027-05-24T00:00:00,2027-05-29T00:00:00
setup_sofia_3,mwcu_a7_2a_M-05_seq15,M-05,2027-05-29T00:00:00,2027-06-05T00:00:00
setup_sofia_3,mwcu_b10_2a_P-02-L_seq16,P-02-L,2027-06-05T00:00:00,2027-06-10T00:00:00
