fte_id,test_id,test_name,start,end
fte_hengelo_4,mwcu_b10_3_K-01_seq2,K-01,2026-11-24T00:00:00,2026-11-28T00:00:00
fte_hengelo_4,mwcu_b10_3_K-02_seq3,K-02,2026-11-28T00:00:00,2026-12-14T00:00:00
fte_hengelo_4,mwcu_b10_2a_K-05_seq6,K-05,2027-01-12T00:00:00,2027-02-23T00:00:00
fte_hengelo_4,mwcu_b10_2a_P-03-L_seq7,P-03-L,2027-02-23T00:00:00,2027-03-28T00:00:00
fte_hengelo_4,mwcu_b10_2a_K-06_seq8,K-06,2027-03-28T00:00:00,2027-04-13T00:00:00
fte_hengelo_4,mwcu_b10_2a_P-02-L_seq9,P-02-L,2027-04-13T00:00:00,2027-04-19T00:00:00
fte_hengelo_4,mwcu_b10_2b_K-02_seq5,K-02,2027-04-19T00:00:00,2027-05-05T00:00:00
fte_hengelo_4,mwcu_b10_6_K-10_seq4,K-10,2027-05-05T00:00:00,2027-05-11T00:00:00
fte_hengelo_4,mwcu_b10_2a_Leak_seq11,Leak,2027-05-13T00:00:00,2027-05-16T00:00:00
fte_hengelo_4,mwcu_b10_7_L-02_seq7,L-02,2027-05-16T00:00:00,2027-08-08T00:00:00
fte_hengelo_4,mwcu_b10_4_VDA_seq4,VDA,2027-09-06T00:00:00,2027-09-15T00:00:00
fte_hengelo_4,mwcu_b10_4_Leakage_seq5,Leakage,2027-09-15T00:00:00,2027-09-23T00:00:00
fte_hengelo_4,mwcu_b10_4_P-03-E_seq6,P-03-E,2027-09-23T00:00:00,2027-10-26T00:00:00
fte_hengelo_4,mwcu_b10_5_M-07_seq7,M-07,2027-10-26T00:00:00,2027-11-28T00:00:00
fte_hengelo_4,mwcu_b10_5_P-02_seq8,P-02,2027-11-28T00:00:00,2027-12-04T00:00:00
fte_hengelo_4,mwcu_b10_4_P-04_seq7,P-04,2027-12-04T00:00:00,2027-12-20T00:00:00
fte_hengelo_4,mwcu_b10_3_L-03_seq11,L-03,2028-01-10T00:00:00,2028-03-02T00:00:00
fte_hengelo_4,mwcu_b10_6_P-03-E_seq9,P-03-E,2028-03-02T00:00:00,2028-04-04T00:00:00
fte_hengelo_4,mwcu_b10_2a_K-11_seq24,K-11,2028-04-04T00:00:00,2028-04-10T00:00:00
fte_hengelo_4,mwcu_b10_2a_P-02-L_seq25,P-02-L,2028-04-10T00:00:00,2028-04-16T00:00:00
fte_hengelo_4,mwcu_b10_2a_K-12_seq26,K-12,2028-04-16T00:00:00,2028-05-11T00:00:00
fte_hengelo_4,mwcu_b10_2a_P-02-L_seq27,P-02-L,2028-05-11T00:00:00,2028-05-17T00:00:00
fte_hengelo_4,mwcu_b10_2a_K-02_seq28,K-02,2028-05-17T00:00:00,2028-06-02T00:00:00
fte_hengelo_4,mwcu_b10_3_P-03-E_seq15,P-03-E,2028-06-02T00:00:00,2028-07-05T00:00:00
fte_hengelo_4,mwcu_b10_5a_P-03-E_seq4,P-03-E,2028-07-05T00:00:00,2028-08-07T00:00:00
fte_hengelo_4,mwcu_b10_3_P-04_seq17,P-04,2028-09-04T00:00:00,2028-09-20T00:00:00
fte_sofia_1,mwcu_a7_3_Leak_seq1,Leak,2026-11-09T00:00:00,2026-11-12T00:00:00
fte_sofia_1,mwcu_a7_7_K-01_seq2,K-01,2026-11-12T00:00:00,2026-11-16T00:00:00
fte_sofia_1,mwcu_a7_7_K-02_seq3,K-02,2026-11-16T00:00:00,2026-12-02T00:00:00
fte_sofia_1,mwcu_a7_6_P-03_seq3,P-03,2026-12-02T00:00:00,2027-01-04T00:00:00
fte_sofia_1,mwcu_a7_5_P-03_seq5,P-03,2027-01-04T00:00:00,2027-02-06T00:00:00
fte_sofia_1,mwcu_a7_4_K-01_seq2,K-01,2027-02-22T00:00:00,2027-02-26T00:00:00
fte_sofia_1,mwcu_a7_5_P-03_seq6,P-03,2027-03-15T00:00:00,2027-04-17T00:00:00
fte_sofia_1,mwcu_a7_4_VDA_seq4,VDA,2027-04-17T00:00:00,2027-04-26T00:00:00
fte_sofia_1,mwcu_a7_4_Leakage_seq5,Leakage,2027-04-26T00:00:00,2027-05-04T00:00:00
fte_sofia_1,mwcu_a7_2a_P-02-L_seq9,P-02-L,2027-05-31T00:00:00,2027-06-06T00:00:00
fte_sofia_1,mwcu_a7_3_P-02_seq6,P-02,2027-06-10T00:00:00,2027-06-16T00:00:00
fte_sofia_1,mwcu_a7_3_L-03_seq7,L-03,2027-06-18T00:00:00,2027-08-09T00:00:00
fte_sofia_1,mwcu_a7_6_K-11_seq5,K-11,2027-08-09T00:00:00,2027-08-15T00:00:00
fte_sofia_1,mwcu_a7_2a_K-03_seq13,K-03,2027-08-15T00:00:00,2027-08-19T00:00:00
fte_sofia_1,mwcu_a7_5_C-01_seq9,C-01,2027-09-14T00:00:00,2027-10-09T00:00:00
fte_sofia_1,mwcu_a7_7_P-03_seq8,P-03,2027-10-12T00:00:00,2027-11-14T00:00:00
fte_sofia_1,mwcu_a7_2a_HV S_seq19,HV S,2027-11-19T00:00:00,2027-12-05T00:00:00
fte_sofia_1,mwcu_a7_2a_M-03_seq20,M-03,2027-12-05T00:00:00,2027-12-21T00:00:00
fte_sofia_1,mwcu_a7_3_P-02_seq10,P-02,2027-12-21T00:00:00,2027-12-27T00:00:00
fte_sofia_1,mwcu_a7_2a_P-02-L_seq21,P-02-L,2027-12-27T00:00:00,2028-01-02T00:00:00
fte_sofia_1,mwcu_a7_2a_K-10_seq22,K-10,2028-01-10T00:00:00,2028-01-16T00:00:00
fte_sofia_1,mwcu_a7_2a_P-02-L_seq23,P-02-L,2028-01-16T00:00:00,2028-01-22T00:00:00
fte_sofia_1,mwcu_a7_2a_K-11_seq24,K-11,2028-01-22T00:00:00,2028-01-28T00:00:00
fte_sofia_1,mwcu_a7_2a_P-02-L_seq25,P-02-L,2028-01-28T00:00:00,2028-02-03T00:00:00
fte_sofia_1,mwcu_a7_2b_P-04_seq4,P-04,2028-02-14T00:00:00,2028-03-01T00:00:00
fte_sofia_1,mwcu_a7_3_P-02_seq12,P-02,2028-03-02T00:00:00,2028-03-08T00:00:00
fte_sofia_1,mwcu_a7_2a_P-02-L_seq27,P-02-L,2028-03-18T00:00:00,2028-03-24T00:00:00
fte_sofia_1,mwcu_a7_5b_P-03-E_seq1,P-03-E,2028-03-24T00:00:00,2028-04-26T00:00:00
fte_sofia_1,mwcu_a7_2a_P-03-E_seq29,P-03-E,2028-05-09T00:00:00,2028-06-11T00:00:00
fte_sofia_1,mwcu_a7_6_P-03-E_seq9,P-03-E,2028-06-11T00:00:00,2028-07-14T00:00:00
fte_sofia_1,mwcu_a7_5b_P-04_seq2,P-04,2028-07-30T00:00:00,2028-08-15T00:00:00
fte_sofia_1,mwcu_a7_3_Leak_seq16,Leak,2028-08-15T00:00:00,2028-08-18T00:00:00
fte_sofia_1,mwcu_a7_3_P-04_seq17,P-04,2028-08-18T00:00:00,2028-09-03T00:00:00
fte_sofia_1,mwcu_a7_4_P-04_seq7,P-04,2028-09-03T00:00:00,2028-09-19T00:00:00
fte_sofia_2,mwcu_a7_7_Leak_seq1,Leak,2026-11-09T00:00:00,2026-11-12T00:00:00
fte_sofia_2,mwcu_a7_3_K-01_seq2,K-01,2026-11-12T00:00:00,2026-11-16T00:00:00
fte_sofia_2,mwcu_a7_6_K-01_seq2,K-01,2026-11-16T00:00:00,2026-11-20T00:00:00
fte_sofia_2,mwcu_a7_4_Leak_seq1,Leak,2026-11-23T00:00:00,2026-11-26T00:00:00
fte_sofia_2,mwcu_a7_5_Leak_seq1,Leak,2026-11-26T00:00:00,2026-11-29T00:00:00
fte_sofia_2,mwcu_a7_5_Leak_seq2,Leak,2026-12-14T00:00:00,2026-12-17T00:00:00
fte_sofia_2,mwcu_a7_5_K-01_seq3,K-01,2026-12-17T00:00:00,2026-12-21T00:00:00
fte_sofia_2,mwcu_a7_5_K-01_seq4,K-01,2026-12-21T00:00:00,2026-12-25T00:00:00
fte_sofia_2,mwcu_a7_2a_P-03_seq4,P-03,2026-12-25T00:00:00,2027-01-27T00:00:00
fte_sofia_2,mwcu_a7_2a_K-02_seq5,K-02,2027-01-27T00:00:00,2027-02-12T00:00:00
fte_sofia_2,mwcu_a7_4_P-03_seq3,P-03,2027-03-01T00:00:00,2027-04-03T00:00:00
fte_sofia_2,mwcu_a7_3_L-03_seq5,L-03,2027-04-19T00:00:00,2027-06-10T00:00:00
fte_sofia_2,mwcu_a7_7_L-02_seq7,L-02,2027-06-10T00:00:00,2027-09-02T00:00:00
fte_sofia_2,mwcu_a7_2a_P-02_seq14,P-02,2027-09-02T00:00:00,2027-09-08T00:00:00
fte_sofia_2,mwcu_a7_2b_Leak_seq3,Leak,2027-09-27T00:00:00,2027-09-30T00:00:00
fte_sofia_2,mwcu_a7_3_P-02_seq8,P-02,2027-09-30T00:00:00,2027-10-06T00:00:00
fte_sofia_2,mwcu_a7_5_Leak_seq10,Leak,2027-10-09T00:00:00,2027-10-12T00:00:00
fte_sofia_2,mwcu_a7_5a_P-02-L_seq1,P-02-L,2027-10-12T00:00:00,2027-10-18T00:00:00
fte_sofia_2,mwcu_a7_5a_K-14_seq2,K-14,2027-10-18T00:00:00,2027-11-17T00:00:00
fte_sofia_2,mwcu_a7_7_L-02_seq9,L-02,2027-11-17T00:00:00,2028-02-09T00:00:00
fte_sofia_2,mwcu_a7_7_P-03_seq10,P-03,2028-02-09T00:00:00,2028-03-13T00:00:00
fte_sofia_2,mwcu_a7_7_L-02_seq11,L-02,2028-03-13T00:00:00,2028-06-05T00:00:00
